id,company_name,contact_person_name,stage_id,estimated_value
"50","Raynor LLC","Ryleigh Schaefer III","3","99380.38"
"51","Casper - Cole","Miguel Gottlieb","6","38610.38"
"52","Reichel - Jacobi","Magnolia Zboncak","3","98758.08"
"53","Little and Sons","Julius Bradtke","4","27219.89"
"54","Steuber, Jast and Bins","Mariano Larkin","3","99357.45"
"55","Harris Inc","Elbert McDermott","6","72530.96"
"56","Brakus LLC","Mr. Clay Murazik","1","37547.69"
"57","Daugherty - Fadel","Eva Halvorson DVM","3","32009.02"
"58","Mann Inc","Gust Rutherford","6","53478.89"
"59","Becker - Wisozk","Gordon Gulgowski","2","21829.30"
"60","Pacocha - Von","German Weber","1","31376.85"
"61","Olson - Marvin","Pablo Skiles Jr.","4","73601.47"
"62","Kunze - Raynor","Joshua O'Hara","6","21560.64"
"63","Wolff - Stiedemann","Monique Medhurst","2","47399.50"
"64","Kiehn and Sons","Gene O'Conner","3","19294.97"
"65","Rutherford - White","Ewell Raynor DDS","2","84045.35"
"66","Pagac - Gibson","Trent Doyle","1","82853.88"
"67","Schimmel Inc","Ada Reichel II","6","13493.74"
"68","Smitham, Ritchie and Schuster","Josefa Purdy-Bayer","2","27582.54"
"69","Gorczany Inc","Marcia Dicki","4","22359.78"
"70","Stanton and Sons","Leonard Cronin","6","30493.31"
"71","Schumm-Vandervort Inc","Sheila Romaguera","4","90271.22"
"72","Morissette Inc","Newell Hoppe","3","72983.24"
"73","Dickens, Lemke and Stokes","Rosetta Hauck II","4","17906.12"
"74","Bahringer, Durgan and Torp","Katelyn Ernser-Bradtke","2","10741.73"
"75","Jenkins, Frami and Kub","Pauline Jast","2","60138.25"
"76","Satterfield and Sons","Miss Jaqueline Cronin MD","5","14336.52"
"77","Kris Group","Sabrina Luettgen","6","10900.56"
"78","DuBuque - Boyle","Justyn Wunsch","6","81383.63"
"79","Mueller, Powlowski and Pollich","Alexie Bruen","3","91424.81"
"80","Hickle - Bauch","Cora Collins","2","17711.93"
"81","Boyle - Ortiz","Bruce Morissette","1","70639.00"
"82","Watsica - Weissnat","Gwendolyn Wyman","2","26716.67"
"83","Frami Inc","Timothy Strosin","6","22549.10"
"84","Walsh - Dibbert","Eleanor Hills","6","54731.49"
"85","Runte, Kunze and Bartell","Lester Haley","4","20183.07"
"86","Gerlach Inc","Miss Georgette Kub","6","69373.85"
"87","Hahn-Dare Inc","Julien Turner","3","74534.02"
"88","DuBuque - Wunsch","Lyric Quigley","2","91447.15"
"89","Cremin - Hegmann","Charity Jones","4","66253.67"
"90","Labadie - Kihn","Louisa Gerhold","2","61753.37"
"91","O'Conner-Wisozk Group","Salvatore Barton","4","57618.39"
"92","Blick, Kutch and Bayer","Tremaine Pfannerstill-Torphy","1","73730.53"
"93","Paucek, Gusikowski and Bednar","Lana Romaguera V","5","53419.85"
"94","Stracke - Bartell","Erin Durgan","5","24864.26"
"95","Gottlieb - Becker","Blake Wolf","3","43567.98"
"96","Kuhlman LLC","Jacquelyn Yundt","6","67501.09"
"97","O'Keefe, Dare and Walsh","Sydnie Murphy","5","30906.82"
"98","Bradtke - Treutel","Charlene Lakin","6","8765.21"
"99","Kohler-Okuneva Inc","Miss Sue Langosh","5","43289.90"
"100","Conroy, Welch and Padberg","Vicki Marquardt","3","86063.75"
